ER30001,ER30002,PCGID68,PCGPN,CDSHID,CHLDINST,PCGINST
2846,31,2846,6,1725,2,1
2847,42,2847,31,1726,3,2
2847,43,2847,31,1726,4,2
2847,45,2847,33,1727,2,1
2848,47,2848,179,1731,2,1
2848,48,2848,175,1732,3,2
2848,49,2848,175,1732,4,2
2848,50,2848,36,1729,2,1
2848,51,2848,179,1731,3,1
2848,52,2848,179,1731,4,1
2848,53,2848,175,1732,5,2
2848,54,2848,36,1729,3,1
2848,55,2848,32,1730,3,1
2850,32,2850,172,1733,3,2
2851,36,2851,32,1734,3,2
2851,38,2851,32,1734,4,2
2852,56,2852,33,1737,2,1
2852,57,2852,30,1739,2,1
2852,58,2852,40,1743,3,2
2852,59,2852,195,1744,3,2
2852,60,2852,34,1736,2,1
2852,61,2852,184,1740,3,1
2852,62,2852,195,1744,4,2
2852,64,2852,34,1736,3,1
2852,67,2852,40,1743,4,2
2852,68,2852,41,1745,2,1
2852,69,2852,42,1747,3,2
2852,70,2852,40,1743,5,2
2852,71,2852,42,1747,4,2
2852,72,2852,41,1745,3,1
2852,73,2852,208,1746,3,2
2852,74,2852,172,1738,4,2
