ER30001,ER30002,PCGID68,PCGPN,CDSHID,CHLDINST,PCGINST
2229,32,2229,30,1272,3,2
2237,33,2237,172,1273,4,2
2237,35,2237,171,1274,4,2
2237,36,2237,171,1274,5,2
2243,31,2243,171,1275,3,1
2243,32,2243,171,1275,4,1
2243,33,2243,174,1276,3,2
2243,34,2243,3,1277,3,1
2243,35,2243,3,1277,4,1
2243,36,2243,174,1276,4,2
2244,32,2244,174,1278,1,2
2246,31,2246,5,1279,3,2
2248,35,2248,32,1282,3,2
2248,36,2248,32,1282,4,2
2248,37,2248,2,1280,2,1
2248,38,2248,2,1280,3,1
2248,41,2248,32,1282,5,2
2250,47,2250,31,1284,3,2
2250,48,2250,32,1285,3,2
2250,49,2250,38,1286,3,2
2250,50,2250,38,1286,4,2
2250,52,2250,184,1283,3,2
2250,53,2250,31,1284,4,2
2250,54,2250,32,1285,5,2
2250,56,2250,32,1285,6,2
2250,60,2250,32,1285,7,2
2250,61,2250,38,1286,5,2
2253,33,2253,172,1292,3,2
2253,34,2253,172,1292,4,2
2255,33,2255,170,1293,3,2
2255,34,2255,170,1293,4,2
2256,32,2256,174,1295,3,2
2256,33,2256,174,1295,4,2
2256,34,2256,31,1296,3,2
2256,35,2256,174,1295,5,2
2256,36,2256,31,1296,4,2
2260,37,2260,177,1298,3,2
2260,38,2260,36,1297,3,2
2260,39,2260,36,1297,4,2
2260,40,2260,36,1297,5,2
2260,41,2260,177,1298,4,2
2260,42,2260,36,1297,6,2
2261,35,2261,30,1299,3,2
2261,36,2261,30,1299,4,2
2261,42,2261,33,1302,3,2
2263,31,2263,30,1304,3,2
2271,39,2271,31,1308,3,2
2271,40,2271,31,1308,4,2
2276,31,2276,173,1311,3,1
2276,34,2276,173,1311,4,1
2276,37,2276,173,1311,5,1
2276,38,2276,173,1311,6,1
2276,39,2276,178,1312,3,2
2277,36,2277,33,1315,4,1
2277,38,2277,33,1315,5,1
2278,45,2278,32,1316,3,2
2278,46,2278,187,1317,3,2
2278,49,2278,187,1317,4,2
2280,46,2280,173,1318,3,2
2280,47,2280,30,1319,3,2
2280,48,2280,30,1319,4,2
2280,49,2280,30,1319,5,2
2280,50,2280,181,1321,3,2
2280,51,2280,35,1320,3,2
2280,52,2280,181,1321,4,2
2280,53,2280,36,1323,3,2
2280,54,2280,35,1320,4,2
2280,55,2280,181,1321,5,2
2280,56,2280,184,1322,3,1
2280,57,2280,36,1323,4,2
2281,171,2281,3,1324,2,1
2281,172,2281,3,1324,3,1
2282,33,2282,177,1326,4,2
2282,34,2282,4,1327,2,1
2285,41,2285,31,1330,3,2
2285,42,2285,31,1330,4,2
2285,43,2285,31,1330,5,2
2285,44,2285,177,1331,3,2
2288,35,2288,183,1333,3,2
2292,42,2292,181,1335,3,2
2292,43,2292,31,1334,2,1
2292,45,2292,34,1338,2,1
2292,46,2292,181,1335,4,2
2292,47,2292,192,1336,3,2
