KIDS,TAS,KID14,TAS05,TAS07,TAS09,TAS11,TAS13,TAS15,TAS17,ER30000,ER30001,ER30002,ER31987,ER31988,ER31989,ER31990,ER31991,ER31992,ER31993,ER31994,ER31995,ER31996,ER31997,ER32000,ER32001,ER32002,ER32003,ER32004,ER32005,ER32006,ER32007,ER32008,ER32009,ER32010,ER32011,ER32012,ER32013,ER32014,ER32015,ER32016,ER32017,ER32018,ER32019,ER32020,ER32021,ER32022,ER32023,ER32024,ER32025,ER32026,ER32027,ER32028,ER32029,ER32030,ER32031,ER32032,ER32033,ER32034,ER32035,ER32036,ER32037,ER32038,ER32039,ER32040,ER32041,ER32042,ER32043,ER32044,ER32045,ER32046,ER32047,ER32048,ER32049,ER32050,ER32051,ER32052,ER32053,ER33801,ER33802,ER33803,TA050001,TA050937,ER33901,ER33902,ER33903,TA070001,TA070918,ER34001,ER34002,ER34003,TA090001,TA090982,ER34101,ER34102,ER34103,TA110001,TA111124,ER34201,ER34202,ER34203,TA130001,TA131216,P14REL,ER34301,ER34302,ER34303,TA150001,TA151276,ER34501,ER34502,ER34503,TA170001,TA171974
,1,,,,1,,,,,2,4,37,0,5,0,0,0,0,0,0,0,31,2,1,1,1,1,0,1,2,2019,2007,4,179,1966,2,2,124,2,4,8,1965,3,98,2009,2,3,2006,1,2009,99,9999,99,9999,99,9999,2009,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1288,3,30,,,0,0,0,,,8582,3,30,3,6,2845,51,30,,,0,0,0,,,,0,0,0,,,0,0,0,,
,2,,,,1,1,,,,2,4,38,0,5,0,0,0,0,0,0,0,31,2,2,1,0,1,0,1,2,2015,2003,4,7,1960,1,1,115,1,4,175,1959,2,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,1,9,2017,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,0,1968,0,6880,2,30,,,0,0,0,,,8180,1,10,3,3,7655,1,10,2,4,8569,1,10,,,,0,0,0,,,8691,2,20,,
,5,,,,1,1,1,1,1,2,4,39,0,5,0,0,0,0,0,0,0,31,2,2,1,0,1,0,0,2,0,0,4,31,1973,3,1,110,2,4,938,9999,99,99,2019,3,8,2009,1,2016,10,2011,99,9999,99,9999,2019,1,6,2010,4,11,2018,8,2017,99,9999,9,99,9999,99,9999,4,0,2017,1968,0,289,3,60,,,148,3,60,,,13,3,60,3,6,1602,2,20,2,6,8698,2,20,2,6,,7304,2,20,2,4,7682,1,10,2,5
,4,,,,,1,1,1,1,2,4,41,0,5,0,0,0,0,0,0,0,31,2,2,1,0,1,0,0,2,0,0,4,31,1973,3,2,998,1,4,195,1972,3,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,1,3,2013,4,12,2014,6,2014,99,9999,9,99,9999,99,9999,4,0,0,1968,0,1157,3,30,,,196,3,30,,,684,3,30,,,2147,1,10,2,5,5963,2,20,2,5,,1032,2,60,2,4,6393,1,10,2,6
1,,1.1,,,,,,,,2,4,44,0,0,0,0,0,0,0,0,0,31,2,2,1,0,1,0,1,2,0,0,4,180,1984,4,1,108,2,0,0,9999,99,99,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,771,3,35,,,1130,2,30,,,77,2,30,,,1839,3,33,,,2176,2,30,,,2,3252,3,33,,,4293,3,33,,
1,,1.1,,,,,,,,2,4,48,0,0,0,0,0,0,0,0,0,31,2,2,1,0,1,0,0,2,0,0,4,180,1984,4,3,111,4,0,0,9999,99,99,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,771,0,0,,,1130,0,0,,,77,3,30,,,1839,4,33,,,2176,3,30,,,2,3252,4,33,,,4293,4,33,,
,4,,1,1,1,1,,,,2,4,180,0,5,0,0,0,0,0,0,0,31,2,2,1,0,1,0,0,3,0,0,4,179,1966,2,1,998,2,4,8,1965,3,98,2019,4,12,2000,5,2015,12,2008,3,2003,99,9999,2019,3,9,2002,4,2,2005,98,9998,10,2013,1,99,9999,99,9999,1,0,2017,1968,0,771,2,22,5,6,1130,1,10,4,6,77,1,10,3,5,1839,2,20,2,5,2176,1,10,,,,3252,2,20,,,4293,2,20,,
,4,,1,1,1,1,,,,2,5,32,0,5,0,0,0,0,0,0,0,31,2,2,1,0,1,0,1,2,2019,2015,5,170,1965,2,2,991,1,5,3,1962,2,2,2013,2,4,2007,8,2012,99,9999,99,9999,99,9999,2013,1,6,2006,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2013,1968,0,624,3,30,5,3,8069,2,20,4,5,3976,2,20,3,5,8389,2,20,2,6,5048,2,20,,,,0,0,0,,,0,0,0,,
,2,,,,,,,1,1,2,5,33,0,0,0,0,0,0,0,0,0,31,2,1,1,0,1,1,0,2,2013,2013,5,172,1963,3,3,126,1,5,5,1966,1,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1504,3,30,,,7756,3,30,,,8470,3,30,,,975,3,30,,,6170,71,30,,,,7098,1,10,2,3,4162,1,10,2,5
1,,1.1,,,,,,,,2,5,34,0,0,0,0,0,0,0,0,0,31,2,2,1,0,1,0,1,2,2019,2015,5,32,1984,2,1,122,1,5,182,1973,2,1,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,624,0,0,,,8069,3,30,,,3976,3,30,,,8389,3,30,,,5048,3,30,,,2,0,0,0,,,0,0,0,,
1,,1.1,,,,,,,,2,5,35,0,0,0,0,0,0,0,0,0,31,2,2,1,0,1,0,0,2,0,0,5,181,1984,1,1,111,1,5,31,1983,1,1,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,7566,0,0,,,7878,0,0,,,8312,3,30,,,8244,2,30,,,8024,3,30,,,2,2571,3,35,,,4308,3,35,,
1,,1.1,,,,,,,,2,5,36,0,0,0,0,0,0,0,0,0,31,2,1,1,0,1,0,1,2,2019,2015,5,32,1984,2,2,126,1,5,182,1973,2,2,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,624,0,0,,,8069,0,0,,,3976,0,0,,,8389,0,0,,,5048,4,30,,,2,0,0,0,,,0,0,0,,
,4,,1,1,1,1,,,,2,6,34,0,5,0,0,0,0,0,0,0,4,1,1,1,1,1,0,0,2,2005,2003,6,172,1955,3,3,995,1,6,6,1955,3,3,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,1,7,2017,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,0,1968,0,1202,51,30,5,6,5967,1,10,4,6,858,1,10,3,6,7106,1,10,2,5,3221,1,10,,,,2679,1,10,,,5702,1,10,,
1,,1.1,,,,,,,,2,6,35,0,0,0,0,0,0,0,0,0,4,1,2,1,0,1,0,1,2,2019,2019,6,30,1972,3,1,83,1,6,174,1973,3,1,2017,0,99,9999,99,9999,99,9999,99,9999,99,9999,2017,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,724,3,30,,,724,3,30,,,729,3,30,,,5667,3,30,,,1612,3,30,,,2,2184,3,30,,,6322,3,30,,
1,,1.1,,,,,,,,2,6,36,0,0,0,0,0,0,0,0,0,4,1,1,1,0,1,0,1,2,2019,2019,6,30,1972,3,2,118,1,6,174,1973,3,2,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,724,4,30,,,724,4,30,,,729,4,30,,,5667,4,30,,,1612,4,30,,,2,2184,4,30,,,6322,4,30,,
1,,1.1,,,,,,,,2,6,37,0,0,0,0,0,0,0,0,0,4,1,2,1,0,1,0,1,2,2019,2019,6,30,1972,3,3,118,1,6,174,1973,3,3,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,724,0,0,,,724,5,30,,,729,5,30,,,5667,5,30,,,1612,5,30,,,2,2184,5,30,,,6322,5,30,,
1,,1.1,,,,,,,,2,6,40,0,0,0,0,0,0,0,0,0,4,1,2,1,0,1,0,0,2,0,0,6,177,1982,3,1,124,1,6,32,1980,3,1,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,6475,0,0,,,4764,0,0,,,847,0,0,,,4787,0,0,,,8860,3,30,,,2,7525,3,30,,,7810,3,30,,
1,,1.1,,,,,,,,2,6,41,0,0,0,0,0,0,0,0,0,4,1,2,1,0,1,0,0,2,0,0,6,177,1982,3,2,134,1,6,32,1980,3,2,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,6475,0,0,,,4764,0,0,,,847,0,0,,,4787,0,0,,,8860,4,30,,,2,7525,4,30,,,7810,4,30,,
,4,,,1,1,1,1,,,2,7,39,0,5,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,2,0,0,7,171,1956,5,3,120,1,7,5,1957,5,3,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,571,2,30,,,1154,3,30,4,6,6730,1,10,3,6,83,1,10,2,5,6276,1,10,2,6,,5421,1,10,,,5069,1,10,,
,6,,,1,1,1,1,1,1,2,7,40,0,5,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,7,171,1956,5,4,110,1,7,5,1957,5,4,2019,2,6,2008,6,2011,99,9999,99,9999,99,9999,2019,1,8,2014,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2013,1968,0,571,3,30,,,482,2,30,4,2,3836,2,22,3,5,177,2,22,2,5,4127,2,22,2,5,,3786,2,20,2,6,4690,2,20,2,4
,3,,,,1,1,,1,,2,7,41,0,5,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,2,0,0,7,30,1972,3,1,67,2,7,185,1972,3,1,2019,1,8,2016,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,562,2,30,,,1411,2,30,,,576,2,30,3,2,1100,3,30,2,4,2820,2,60,,,,2000,2,60,2,3,4360,2,60,,
,1,,,,,,,,1,2,7,42,0,5,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,2,0,0,7,171,1956,5,5,114,1,7,5,1957,5,5,2019,1,3,2017,99,9999,99,9999,99,9999,99,9999,2019,1,9,2014,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2017,1968,0,571,4,30,,,482,3,30,,,290,2,30,,,183,2,30,,,6202,1,10,,,,6262,1,10,,,4139,1,10,2,5
,4,,,,,1,1,1,1,2,7,44,0,5,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,2,0,0,7,30,1972,3,3,998,2,7,185,1972,3,3,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,562,4,30,,,1411,4,30,,,576,4,30,,,1100,5,30,2,6,8359,1,10,2,4,,5709,1,10,2,3,4261,1,10,2,5
,3,,,,,,1,1,1,2,7,45,0,5,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,7,175,1973,2,1,998,1,7,31,1973,2,1,2019,3,2,2011,7,2018,7,2013,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,2019,1968,0,82,3,30,,,904,3,30,,,272,3,30,,,43,3,30,,,3305,3,30,2,5,,3856,1,10,2,5,3854,1,10,2,4
,3,,,,,,1,1,1,2,7,46,0,0,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,7,34,1974,3,1,119,1,7,177,1970,3,1,2019,2,3,2011,9,2014,99,9999,99,9999,99,9999,2019,1,10,2011,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2015,1968,0,104,3,33,,,2208,2,30,,,4986,2,30,,,6885,2,30,,,8696,2,20,2,4,,7575,2,20,2,6,5879,2,20,2,5
,2,,,,,,,1,1,2,7,47,0,0,0,0,0,0,0,0,0,8,2,2,1,0,1,1,0,2,2013,2013,7,34,1974,3,2,122,1,7,177,1970,3,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,104,4,33,,,2208,3,30,,,4986,3,30,,,6885,3,30,,,8696,72,30,,,,6743,2,22,2,5,5233,2,22,2,6
,1,,,,,,,,1,2,7,48,0,0,0,0,0,0,0,0,0,8,2,2,1,0,1,1,0,2,2013,2013,7,34,1974,3,3,106,1,7,177,1970,3,3,2019,1,1,2017,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,2017,1968,0,104,5,33,,,2208,4,30,,,4986,4,30,,,6885,4,30,,,8696,73,30,,,,7575,5,47,,,6798,1,10,2,6
1,1,1.1,,,,,,,1,2,7,49,0,0,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,7,175,1973,2,2,998,1,7,31,1973,2,2,2019,2,11,2017,11,2018,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,2019,1968,0,82,4,30,,,904,4,30,,,272,4,30,,,43,4,30,,,3305,4,30,,,2,2733,3,30,,,5140,1,10,2,4
1,,1.1,,,,,,,,2,7,50,0,0,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,2,0,0,7,36,1980,4,1,105,1,7,187,1975,4,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1394,3,30,,,800,3,30,,,1005,3,30,,,477,3,30,,,5796,2,30,,,2,3959,2,30,,,5898,2,30,,
1,,1.1,,,,,,,,2,7,51,0,0,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,7,33,1973,1,1,124,1,7,184,1969,1,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1056,3,30,,,170,3,30,,,589,3,30,,,532,3,30,,,3387,3,30,,,2,6213,3,30,,,4769,3,30,,
1,,1.1,,,,,,,,2,7,52,0,0,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,7,36,1980,4,2,73,1,7,187,1975,4,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1394,5,30,,,800,4,30,,,1005,4,30,,,477,4,30,,,5796,3,30,,,2,3959,3,30,,,5898,3,30,,
1,,1.1,,,,,,,,2,7,54,0,0,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,7,36,1980,4,3,95,1,7,187,1975,4,3,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,1394,0,0,,,800,5,30,,,1005,5,30,,,477,5,30,,,5796,4,30,,,2,3959,4,30,,,5898,4,30,,
1,,1.1,,,,,,,,2,7,55,0,0,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,2,0,0,7,40,1989,2,1,109,2,7,194,1988,2,1,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,571,0,0,,,482,0,0,,,3836,3,30,,,177,3,30,,,4127,3,30,,,2,3786,3,30,,,4690,3,30,,
1,,1.1,,,,,,,,2,7,56,0,0,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,2,0,0,7,36,1980,4,4,89,1,7,187,1975,4,4,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,1394,0,0,,,800,0,0,,,1005,0,0,,,477,6,30,,,5796,5,30,,,2,3959,5,30,,,5898,5,30,,
1,,1.1,,,,,,,,2,7,57,0,0,0,0,0,0,0,0,0,8,2,1,1,0,1,0,1,2,0,0,7,46,1993,2,1,128,2,7,205,1993,2,1,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,0,0,0,,,2208,0,0,,,4986,0,0,,,6885,5,60,,,8696,3,30,,,2,7575,3,30,,,5879,3,30,,
1,,1.1,,,,,,,,2,7,58,0,0,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,7,45,1992,3,1,113,2,7,207,1989,1,1,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,82,0,0,,,904,0,0,,,272,0,0,,,43,5,60,,,3305,5,60,,,2,3856,2,30,,,3854,3,30,,
1,,1.1,,,,,,,,2,7,60,0,0,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,7,40,1989,2,2,97,2,7,194,1988,2,2,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,571,0,0,,,482,0,0,,,3836,0,0,,,177,0,0,,,4127,4,30,,,2,3786,4,30,,,4690,4,30,,
,1,,,,,,,,1,2,7,206,0,0,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,3,0,0,0,0,9999,99,99,999,9,7,3,9999,99,99,2019,1,8,2017,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,2019,1968,0,345,0,0,,,178,0,0,,,412,0,0,,,550,0,0,,,6441,2,30,,,,48,2,30,,,4873,1,10,2,6
,4,,,,1,,1,1,1,2,10,34,0,5,0,0,0,0,0,0,0,27,2,2,1,0,1,0,0,2,0,0,10,6,1963,3,2,115,1,10,176,1961,3,2,2019,2,8,2011,9,2018,99,9999,99,9999,99,9999,2019,1,5,2016,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2019,1968,0,523,3,30,,,6742,3,30,,,3276,3,30,3,6,8869,1,10,,,7423,2,22,2,6,,5033,1,10,2,6,1566,2,20,2,6
,4,,,,,1,1,1,1,2,10,35,0,5,0,0,0,0,0,0,0,27,2,1,1,0,1,0,1,2,0,0,10,6,1963,3,3,105,1,10,176,1961,3,3,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,523,4,30,,,6742,4,30,,,3276,4,30,,,8551,3,30,2,6,7473,3,30,2,6,,5033,4,40,2,6,1744,1,10,2,4
1,,1.1,,,,,,,,2,10,36,0,0,0,0,0,0,0,0,0,27,2,2,1,0,1,0,1,2,0,0,10,30,1971,1,1,102,1,10,181,1966,1,1,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,819,0,0,,,6905,3,30,,,4256,3,30,,,4144,3,30,,,6082,3,30,,,2,5006,3,30,,,1510,3,30,,
1,,1.1,,,,,,,,2,10,37,0,0,0,0,0,0,0,0,0,27,2,2,1,0,1,0,0,2,0,0,10,32,1987,1,1,109,2,10,189,1985,1,1,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,523,0,0,,,6742,0,0,,,3276,0,0,,,8551,4,60,,,7473,4,60,,,2,6871,3,60,,,1458,3,60,,
1,,1.1,,,,,,,,2,10,38,0,0,0,0,0,0,0,0,0,27,2,2,1,0,1,0,0,2,0,0,10,34,1990,2,1,112,2,10,185,1985,2,2,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,523,0,0,,,6742,0,0,,,3276,0,0,,,8869,3,30,,,7423,3,30,,,2,5033,3,30,,,1566,3,33,,
,4,,1,1,1,1,,,,2,14,30,0,5,0,0,0,0,0,0,0,14,2,1,1,1,1,0,0,2,2005,2005,14,172,1966,2,1,116,1,14,4,1963,2,1,2019,1,10,2015,99,9999,99,9999,99,9999,99,9999,2019,1,10,2013,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2017,1968,0,736,51,30,5,5,3621,3,30,4,5,5994,3,30,3,5,1685,3,30,2,4,6491,1,10,,,,4735,1,10,,,2521,1,10,,
,5,,,1,1,1,1,1,,2,14,31,0,5,0,0,0,0,0,0,0,14,2,2,1,0,1,0,0,2,0,0,14,172,1966,2,2,91,1,14,4,1963,2,2,2019,2,1,2013,1,2018,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,2019,1968,0,736,3,30,,,4149,2,22,4,3,713,1,10,3,4,1780,1,10,2,4,1284,1,10,2,5,,7731,1,10,2,4,1669,2,22,,
,4,,,,,1,1,1,1,2,14,32,0,5,0,0,0,0,0,0,0,14,2,1,1,1,1,0,0,2,2015,2011,14,3,1956,2,1,110,1,14,173,1961,2,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,677,3,30,,,2668,3,30,,,126,3,30,,,964,51,30,2,5,1865,52,30,2,5,,2839,52,30,2,5,2400,1,10,2,5
,3,,,,,,1,1,1,2,14,33,0,0,0,0,0,0,0,0,0,14,2,2,1,1,1,0,0,2,2015,2013,14,3,1956,2,2,108,1,14,173,1961,2,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,677,4,30,,,2668,4,30,,,126,4,30,,,964,3,30,,,1865,51,30,2,5,,2839,51,30,2,5,1723,1,10,2,5
1,,1.1,,,,,,,,2,14,34,0,0,0,0,0,0,0,0,0,14,2,1,1,0,1,0,0,2,0,0,14,31,1988,2,1,110,2,14,175,9999,99,99,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,736,0,0,,,4149,0,0,,,713,0,0,,,1780,0,0,,,1284,2,30,,,2,7731,3,30,,,1669,3,35,,
,1,,,,,,,,1,2,16,34,0,0,0,0,0,0,0,0,0,14,2,2,1,0,1,0,1,2,2019,2013,16,4,1966,2,2,118,1,16,172,1958,2,2,2017,0,99,9999,99,9999,99,9999,99,9999,99,9999,2017,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1063,3,30,,,3618,3,30,,,8053,3,30,,,8403,3,30,,,0,0,0,,,,6761,3,30,,,9035,3,30,2,6
1,,1.1,,,,,,,,2,16,37,0,0,0,0,0,0,0,0,0,14,2,2,1,0,1,0,0,2,0,0,16,32,1983,2,1,124,2,16,176,1979,2,1,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,1850,3,30,,,1894,3,30,,,6533,3,30,,,471,3,30,,,5453,3,30,,,2,3464,3,30,,,5969,3,30,,
1,,1.1,,,,,,,,2,16,41,0,0,0,0,0,0,0,0,0,14,2,2,1,0,1,0,0,2,0,0,16,32,1983,2,2,129,1,16,176,1979,2,2,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,1850,0,0,,,1894,0,0,,,6533,0,0,,,471,4,30,,,5453,4,30,,,2,3464,4,30,,,5969,4,30,,
,1,,,,,,,,1,2,16,174,0,0,0,0,0,0,0,0,0,14,2,1,1,0,1,1,0,3,2009,2009,16,171,1962,3,2,998,1,16,5,1962,3,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1063,4,71,,,7254,3,30,,,6161,71,30,,,4483,1,10,,,8959,1,10,,,,8487,1,10,,,6436,1,10,2,5
1,,1.1,,,,,,,,2,16,177,0,0,0,0,0,0,0,0,0,14,2,1,1,0,1,0,1,3,0,0,16,171,1962,3,3,998,1,16,5,1962,3,3,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,0,0,0,,,7254,4,30,,,6161,3,30,,,2211,3,30,,,1163,3,30,,,2,4663,3,30,,,5223,3,30,,
,2,,1,1,,,,,,2,18,38,0,5,0,0,0,0,0,0,0,14,2,2,1,0,1,0,1,2,2013,2013,18,170,1955,2,2,156,1,18,3,1956,2,2,2019,2,9,2009,7,2013,99,9999,99,9999,99,9999,2019,1,5,2009,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2015,1968,0,5647,3,98,5,6,1047,1,10,4,6,7651,2,20,,,2272,2,20,,,0,0,0,,,,1099,2,20,,,7631,2,20,,
,3,,,,,,1,1,1,2,18,39,0,0,0,0,0,0,0,0,0,14,2,1,1,0,1,0,1,2,0,0,18,31,1972,3,1,91,1,18,183,1971,3,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1321,3,30,,,940,3,30,,,3582,3,30,,,395,2,30,,,5977,2,30,2,5,,879,2,30,2,5,4401,2,30,2,5
,2,,,,,,,1,1,2,18,40,0,0,0,0,0,0,0,0,0,14,2,1,1,0,1,0,1,2,0,0,18,31,1972,3,2,107,1,18,183,1971,3,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1321,4,30,,,940,4,30,,,3582,4,30,,,395,3,30,,,5977,3,30,,,,879,3,30,2,3,4401,3,30,2,5
,1,,,,,,,1,,2,18,41,0,0,0,0,0,0,0,0,0,14,2,1,1,0,1,1,0,2,2019,2019,18,185,1974,5,2,115,1,18,35,1974,2,1,2017,0,99,9999,99,9999,99,9999,99,9999,99,9999,2017,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,5937,3,30,,,7955,4,35,,,5016,4,33,,,2916,4,33,,,7557,3,33,,,,5223,1,10,2,5,9570,3,30,,
