KIDS,TAS,KID14,TAS05,TAS07,TAS09,TAS11,TAS13,TAS15,TAS17,ER30000,ER30001,ER30002,ER31987,ER31988,ER31989,ER31990,ER31991,ER31992,ER31993,ER31994,ER31995,ER31996,ER31997,ER32000,ER32001,ER32002,ER32003,ER32004,ER32005,ER32006,ER32007,ER32008,ER32009,ER32010,ER32011,ER32012,ER32013,ER32014,ER32015,ER32016,ER32017,ER32018,ER32019,ER32020,ER32021,ER32022,ER32023,ER32024,ER32025,ER32026,ER32027,ER32028,ER32029,ER32030,ER32031,ER32032,ER32033,ER32034,ER32035,ER32036,ER32037,ER32038,ER32039,ER32040,ER32041,ER32042,ER32043,ER32044,ER32045,ER32046,ER32047,ER32048,ER32049,ER32050,ER32051,ER32052,ER32053,ER33801,ER33802,ER33803,TA050001,TA050937,ER33901,ER33902,ER33903,TA070001,TA070918,ER34001,ER34002,ER34003,TA090001,TA090982,ER34101,ER34102,ER34103,TA110001,TA111124,ER34201,ER34202,ER34203,TA130001,TA131216,P14REL,ER34301,ER34302,ER34303,TA150001,TA151276,ER34501,ER34502,ER34503,TA170001,TA171974
1,,1.1,,,,,,,,2,5904,244,0,0,0,0,0,0,0,0,0,25,2,2,1,0,1,1,1,0,2019,2015,5904,201,1980,3,3,97,2,0,0,9999,99,99,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,3388,0,0,,,418,5,35,,,817,5,35,,,3254,5,35,,,3447,5,35,,,2,4701,73,35,,,0,0,0,,
,3,,,,,,1,1,1,2,5909,37,0,0,0,0,0,0,0,0,0,9,2,2,1,0,1,1,1,2,1995,1995,5909,184,1970,5,4,115,2,5909,5,1958,4,4,2019,2,9,2012,4,2018,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,2019,1968,0,3238,2,30,,,4713,3,33,,,4538,3,33,,,6824,3,33,,,1861,3,33,2,5,,6889,1,10,2,4,2855,1,10,2,5
1,,1.1,,,,,,,,2,5909,39,0,0,0,0,0,0,0,0,0,9,2,2,1,0,1,0,1,2,0,0,5909,182,1981,4,1,118,2,0,0,9999,99,99,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,5865,0,0,,,4763,0,0,,,3337,2,30,,,6666,2,30,,,1236,2,30,,,2,7921,2,30,,,3216,2,30,,
1,,1.1,,,,,,,,2,5909,40,0,0,0,0,0,0,0,0,0,9,2,2,1,0,1,0,1,2,0,0,5909,182,1981,4,2,118,2,0,0,9999,99,99,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,5865,0,0,,,4763,0,0,,,3337,0,0,,,6666,3,30,,,1236,3,30,,,2,7921,3,30,,,3216,3,30,,
1,,1.1,,,,,,,,2,5909,41,0,0,0,0,0,0,0,0,0,9,2,1,1,0,1,0,1,2,0,0,5909,37,1993,2,1,84,2,5909,916,9999,99,99,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,3238,0,0,,,4713,0,0,,,4538,0,0,,,6824,0,0,,,1861,6,60,,,2,6889,2,30,,,2855,2,30,,
1,1,1.1,,,,,,,1,2,5909,194,0,0,0,0,0,0,0,0,0,9,2,2,1,0,1,0,1,3,2019,2019,5909,183,1980,4,1,998,2,5909,199,1981,6,1,2017,0,99,9999,99,9999,99,9999,99,9999,99,9999,2017,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,0,0,0,,,4763,0,0,,,6101,2,30,,,8569,2,30,,,2589,2,30,,,2,6431,2,30,,,3149,2,30,2,5
1,,1.1,,,,,,,,2,5909,195,0,0,0,0,0,0,0,0,0,9,2,2,1,0,1,0,1,3,0,0,5909,183,1980,4,2,998,2,5909,199,1981,6,3,2019,1,8,2018,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,0,0,0,,,4763,0,0,,,6101,3,30,,,8569,3,30,,,2589,3,30,,,2,6431,3,30,,,3711,2,30,,
1,,1.1,,,,,,,,2,5909,196,0,0,0,0,0,0,0,0,0,9,2,2,1,0,1,0,1,3,0,0,5909,183,1980,4,3,998,2,5909,199,1981,6,4,2019,1,3,2019,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,0,0,0,,,4763,0,0,,,6101,4,30,,,8569,4,30,,,2589,4,30,,,2,6431,4,30,,,3711,3,30,,
1,,1.1,,,,,,,,2,5909,197,0,0,0,0,0,0,0,0,0,9,2,1,1,0,1,0,1,3,0,0,5909,183,1980,4,4,998,2,5909,199,1981,6,5,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,0,0,0,,,4763,0,0,,,6101,5,30,,,8569,5,30,,,2589,5,30,,,2,6431,5,30,,,3711,4,30,,
,4,,1,1,1,1,,,,2,5916,37,0,5,0,0,0,0,0,0,0,25,2,1,1,1,1,0,0,2,2007,2005,5916,171,1959,3,2,995,1,5916,4,1955,2,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,4593,51,30,5,6,5775,51,30,4,6,7573,1,10,3,6,196,1,10,2,6,504,1,10,,,,954,1,10,,,5401,1,10,,
